,Player,Team,Pos,G,MP,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Season,PER,TS%,eFG%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg, ,DWS,WS,WS/40
154,Cheyenne Parker-Tyus,LVA,F,21,223,1,37,73,0.507,4,12,0.333,33,61,0.541,31,41,0.756,15,50,14,8,14,12,32,109,2026,19.8,0.599,0.534,0.164,0.562,8.1,13.3,9.6,1.8,5.7,11.6,20.8,118.0,105.0,,0.4,1.0,0.176
155,Jihyun Park,LAS,G,20,184,0,15,41,0.366,3,19,0.158,12,22,0.545,9,15,0.6,8,25,8,9,1,6,24,42,2026,6.7,0.441,0.402,0.463,0.366,5.2,8.2,6.2,2.4,0.5,11.2,12.7,94.0,115.0,,0.1,0.0,-0.006
156,Alissa Pili,LAS,F,3,18,0,2,4,0.5,0,1,0.0,2,3,0.667,0,0,,3,6,2,0,0,1,5,4,2026,9.5,0.5,0.5,0.25,0.0,19.9,20.1,16.5,0.0,0.0,20.0,12.1,115.0,117.0,,0.0,0.0,0.066
157,Justine Pissott,LVA,G-F,2,24,0,7,12,0.583,5,9,0.556,2,3,0.667,0,0,,0,3,2,0,1,1,2,19,2026,29.1,0.792,0.792,0.75,0.0,0.0,7.4,15.8,0.0,3.8,7.7,24.4,133.0,111.0,,0.0,0.1,0.224
158,Kelsey Plum,LAS,G,12,414,12,99,188,0.527,31,81,0.383,68,107,0.636,58,72,0.806,3,26,77,14,0,37,41,287,2026,22.9,0.653,0.609,0.431,0.383,0.9,3.8,34.0,1.7,0.0,14.4,27.0,120.0,118.0,,0.0,1.6,0.153
159,Saylor Poffenbarger,CHI,F,5,26,0,0,4,0.0,0,4,0.0,0,0,,0,0,,1,6,1,2,0,0,3,0,2026,1.5,0.0,0.0,1.0,0.0,4.4,13.2,5.1,3.8,0.0,0.0,6.7,34.0,104.0,,0.0,0.0,-0.051
160,Tima Pouye,TOR,G,17,166,1,16,49,0.327,7,24,0.292,9,25,0.36,12,15,0.8,5,14,21,3,0,12,32,51,2026,5.2,0.459,0.398,0.49,0.306,3.7,5.1,19.2,0.9,0.0,17.8,18.1,95.0,121.0,,-0.1,-0.2,-0.045
161,Ashten Prechtel,GSV,F,1,5,0,2,3,0.667,1,2,0.5,1,1,1.0,0,0,,1,1,0,0,0,1,0,5,2026,34.8,0.833,0.833,0.667,0.0,23.7,12.2,0.0,0.0,0.0,25.0,36.9,109.0,112.0,,0.0,0.0,0.112
162,Cassandre Prosper,WAS,G,20,263,2,22,71,0.31,6,29,0.207,16,42,0.381,2,7,0.286,17,27,10,4,1,18,44,52,2026,-0.6,0.351,0.352,0.408,0.099,8.1,6.2,6.4,0.8,0.4,19.5,15.7,73.0,110.0,,0.3,-0.5,-0.077
163,Nyadiew Puoch,POR,F,25,415,12,32,98,0.327,8,47,0.17,24,51,0.471,7,14,0.5,21,41,19,16,3,14,49,79,2026,4.2,0.379,0.367,0.48,0.143,6.6,6.3,6.9,2.0,0.7,11.8,12.8,86.0,117.0,,0.0,-0.5,-0.05
164,JJ Quinerly,DAL,G,2,12,0,1,3,0.333,0,1,0.0,1,2,0.5,0,0,,0,1,2,0,1,0,0,2,2026,10.6,0.333,0.333,0.333,0.0,0.0,5.0,22.1,0.0,7.4,0.0,11.1,100.0,109.0,,0.0,0.0,0.047
165,Angel Reese,ATL,F,25,759,25,131,308,0.425,3,25,0.12,128,283,0.452,119,161,0.739,126,288,60,42,16,87,93,384,2026,18.9,0.507,0.43,0.081,0.523,19.1,23.6,13.1,2.8,2.1,18.7,25.9,103.0,103.0,,1.6,2.1,0.108
166,Kiki Rice,TOR,G,10,267,7,40,75,0.533,9,23,0.391,31,52,0.596,38,45,0.844,12,47,26,10,1,13,28,127,2026,19.5,0.67,0.593,0.307,0.6,5.6,10.7,16.1,1.9,0.3,12.1,17.9,131.0,116.0,,0.1,1.1,0.17
167,Saniya Rivers,CON,G,22,490,12,57,163,0.35,8,44,0.182,49,119,0.412,26,38,0.684,8,50,68,22,16,35,41,148,2026,8.9,0.412,0.374,0.27,0.233,1.9,6.2,22.4,2.3,3.2,16.3,19.2,87.0,109.0,,0.6,-0.3,-0.024
168,Nyara Sabally,TOR,F,18,433,15,77,143,0.538,11,30,0.367,66,113,0.584,45,59,0.763,29,86,32,16,18,20,54,210,2026,20.0,0.621,0.577,0.21,0.413,8.3,12.1,12.8,1.9,3.8,10.6,19.4,123.0,114.0,,0.2,1.6,0.148
169,Satou Sabally,NYL,F,13,218,5,45,98,0.459,20,52,0.385,25,46,0.543,25,29,0.862,5,36,25,1,2,22,34,135,2026,16.3,0.609,0.561,0.531,0.296,3.0,10.1,21.4,0.2,0.8,16.6,27.5,109.0,111.0,,0.2,0.6,0.103
170,Janelle Salaün,GSV,F,26,587,0,106,253,0.419,66,164,0.402,40,89,0.449,56,70,0.8,26,104,27,17,4,21,61,334,2026,19.0,0.588,0.549,0.648,0.277,5.2,10.8,8.8,1.5,0.7,6.9,24.0,118.0,103.0,,1.2,2.9,0.199
171,Karlie Samuelson,POR,G,14,192,0,15,39,0.385,11,35,0.314,4,4,1.0,10,11,0.909,5,15,11,6,3,6,15,51,2026,9.8,0.582,0.526,0.897,0.282,3.4,5.0,8.7,1.6,1.5,12.0,11.7,116.0,117.0,,0.0,0.3,0.053
172,Katie Lou Samuelson,SEA,G,21,332,1,31,70,0.443,18,49,0.367,13,21,0.619,13,18,0.722,6,43,17,17,1,9,20,93,2026,11.7,0.597,0.571,0.7,0.257,2.2,7.5,8.1,2.6,0.3,10.4,11.7,115.0,109.0,,0.4,0.8,0.096
173,Jacy Sheldon,CHI,G,26,561,13,65,142,0.458,22,66,0.333,43,76,0.566,25,29,0.862,11,36,46,21,10,21,67,177,2026,10.6,0.572,0.535,0.465,0.204,2.2,3.7,12.7,1.8,1.5,11.9,13.6,111.0,112.0,,0.4,1.0,0.07
174,Jessica Shepard,DAL,F,25,827,25,152,255,0.596,0,8,0.0,152,247,0.615,67,93,0.72,80,293,131,18,0,50,55,371,2026,23.2,0.627,0.596,0.031,0.365,11.0,21.1,24.3,1.1,0.0,14.5,18.5,127.0,107.0,,1.2,4.5,0.22
175,Jaylyn Sherrod,ATL,G,2,12,0,1,5,0.2,0,2,0.0,1,3,0.333,0,0,,0,1,4,3,0,1,3,2,2026,10.7,0.2,0.2,0.4,0.0,0.0,5.2,48.1,12.4,0.0,16.7,21.1,71.0,85.0,,0.1,0.0,0.0
176,Maddy Siegrist,DAL,F,24,327,6,53,112,0.473,17,40,0.425,36,72,0.5,15,18,0.833,19,62,16,11,7,7,36,138,2026,16.4,0.575,0.549,0.357,0.161,6.6,11.3,7.3,1.7,1.9,5.5,17.2,120.0,107.0,,0.5,1.2,0.151
177,Odyssey Sims,DAL,G,16,237,7,34,78,0.436,8,23,0.348,26,55,0.473,14,17,0.824,0,12,38,9,2,19,22,90,2026,11.4,0.526,0.487,0.295,0.218,0.0,3.0,23.1,1.9,0.7,18.2,19.5,101.0,110.0,,0.2,0.3,0.044
178,Kamiah Smalls,POR,G,2,30,1,5,10,0.5,4,7,0.571,1,3,0.333,1,1,1.0,0,0,6,0,0,4,2,15,2026,14.2,0.718,0.7,0.7,0.1,0.0,0.0,34.9,0.0,0.0,27.7,21.7,113.0,124.0,,0.0,0.0,0.047
179,Alanna Smith,DAL,F,20,284,7,30,78,0.385,7,35,0.2,23,43,0.535,9,14,0.643,18,57,21,13,7,22,43,76,2026,8.1,0.452,0.429,0.449,0.179,7.2,11.9,10.1,2.3,2.2,20.7,16.6,89.0,106.0,,0.5,0.1,0.01
180,NaLyssa Smith,LVA,F,24,574,24,115,175,0.657,1,5,0.2,114,170,0.671,55,100,0.55,42,147,20,12,14,21,69,286,2026,20.0,0.653,0.66,0.029,0.571,8.8,15.2,5.6,1.1,2.2,8.8,18.9,126.0,108.0,,0.7,2.6,0.183
181,Miela Sowah,GSV,G,2,6,0,0,2,0.0,0,2,0.0,0,0,,0,0,,0,0,0,0,0,0,1,0,2026,-17.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.4,0.0,112.0,,0.0,-0.1,-0.335
182,Azura Stevens,CHI,F-C,21,524,20,92,220,0.418,22,78,0.282,70,142,0.493,42,54,0.778,30,144,52,21,7,37,57,248,2026,15.4,0.509,0.468,0.355,0.245,6.5,15.7,17.0,2.0,1.1,13.2,23.3,100.0,106.0,,0.8,0.9,0.065
183,Breanna Stewart,NYL,F,24,790,24,167,352,0.474,18,74,0.243,149,278,0.536,143,169,0.846,37,201,66,32,32,59,59,495,2026,23.1,0.58,0.5,0.21,0.48,6.2,15.5,15.7,2.1,3.6,12.2,27.8,114.0,104.0,,1.5,3.6,0.184
184,Kiah Stokes,GSV,C,26,575,26,37,87,0.425,14,42,0.333,23,45,0.511,7,15,0.467,23,131,32,20,47,13,63,95,2026,12.2,0.507,0.506,0.483,0.172,4.7,13.9,8.7,1.9,8.2,12.2,8.6,110.0,96.0,,1.7,2.1,0.148
185,Marta Suárez,PHO,F,11,104,0,17,34,0.5,4,10,0.4,13,24,0.542,6,9,0.667,6,15,3,3,0,6,20,44,2026,10.8,0.58,0.559,0.294,0.265,6.9,8.9,5.3,1.5,0.0,13.6,19.2,104.0,113.0,,0.1,0.1,0.045
186,Brittney Sykes,TOR,G,15,477,15,96,228,0.421,16,59,0.271,80,169,0.473,93,104,0.894,15,57,52,20,7,35,39,301,2026,19.4,0.55,0.456,0.259,0.456,3.9,7.3,19.7,2.1,1.3,11.3,28.7,110.0,116.0,,0.1,1.1,0.09
187,Stephanie Talbot,LVA,F,24,457,23,32,79,0.405,12,48,0.25,20,31,0.645,10,15,0.667,27,78,32,16,5,19,44,86,2026,8.6,0.502,0.481,0.608,0.19,7.1,10.1,9.4,1.8,1.0,18.2,10.3,105.0,109.0,,0.5,0.7,0.061
188,Sydney Taylor,CHI,G,24,474,13,114,252,0.452,45,136,0.331,69,116,0.595,51,61,0.836,10,35,33,16,5,37,66,324,2026,16.7,0.581,0.542,0.54,0.242,2.4,4.2,13.4,1.7,0.9,11.7,29.0,105.0,113.0,,0.3,0.8,0.064
189,Taylor Thierry,SEA,G-F,9,38,0,2,8,0.25,2,4,0.5,0,4,0.0,0,0,,5,8,0,1,0,1,6,6,2026,4.4,0.375,0.375,0.5,0.0,15.8,12.3,0.0,1.3,0.0,11.1,10.6,94.0,113.0,,0.0,0.0,0.006
190,Alyssa Thomas,PHO,F,25,838,25,138,272,0.507,0,1,0.0,138,271,0.509,80,117,0.684,41,172,202,35,11,88,65,356,2026,19.2,0.55,0.507,0.004,0.43,5.9,12.7,44.0,2.1,1.3,21.4,22.3,108.0,109.0,,0.9,2.2,0.104
191,Kayla Thornton,GSV,F,26,654,26,68,193,0.352,40,121,0.331,28,72,0.389,36,40,0.9,40,133,18,19,8,19,61,212,2026,11.4,0.503,0.456,0.627,0.207,7.2,12.4,4.6,1.6,1.2,8.3,16.2,108.0,103.0,,1.4,1.9,0.118
192,Makayla Timpson,IND,F-C,25,374,1,35,61,0.574,0,0,,35,61,0.574,22,31,0.71,37,96,13,12,15,15,43,92,2026,13.5,0.616,0.574,0.0,0.508,12.7,16.1,4.9,1.6,3.4,16.7,10.4,124.0,107.0,,0.5,1.3,0.134
193,Brianna Turner,LVA,F-C,21,219,0,12,19,0.632,0,0,,12,19,0.632,2,2,1.0,12,45,4,5,10,9,18,26,2026,8.0,0.654,0.632,0.0,0.105,6.6,12.2,2.4,1.1,4.2,31.2,5.9,106.0,108.0,,0.3,0.4,0.067
194,Courtney Vandersloot,CHI,G,9,161,6,24,54,0.444,6,17,0.353,18,37,0.486,22,28,0.786,2,18,39,10,1,14,19,76,2026,18.8,0.573,0.5,0.315,0.519,1.4,6.4,39.6,3.1,0.5,17.4,21.7,113.0,108.0,,0.2,0.6,0.139
195,Hailey Van Lith,CON,G,12,176,3,31,63,0.492,8,17,0.471,23,46,0.5,7,8,0.875,2,11,23,6,3,12,15,77,2026,14.6,0.579,0.556,0.27,0.127,1.3,3.8,23.4,1.7,1.7,15.3,19.6,108.0,112.0,,0.1,0.3,0.077
196,Julie Vanloo,NYL,G,5,81,0,9,17,0.529,7,14,0.5,2,3,0.667,4,4,1.0,1,10,27,2,0,12,11,29,2026,16.5,0.773,0.735,0.824,0.235,1.6,7.5,52.8,1.3,0.0,39.0,17.2,121.0,111.0,,0.1,0.3,0.165
197,Costanza Verona,DAL,G,1,6,0,2,2,1.0,0,0,,2,2,1.0,0,0,,0,0,2,0,0,0,0,4,2026,39.6,1.0,1.0,0.0,0.0,0.0,0.0,66.2,0.0,0.0,0.0,14.8,206.0,116.0,,0.0,0.1,0.503
198,Maddy Westbeld,CHI,F,3,28,0,1,6,0.167,1,5,0.2,0,1,0.0,0,0,,2,4,2,0,0,1,6,3,2026,-1.7,0.25,0.25,0.833,0.0,8.1,8.2,9.8,0.0,0.0,14.3,10.9,74.0,116.0,,0.0,-0.1,-0.081
199,Erica Wheeler,LAS,G,25,702,23,81,219,0.37,27,109,0.248,54,110,0.491,31,36,0.861,9,49,129,27,2,52,73,220,2026,9.3,0.468,0.432,0.498,0.164,1.5,4.2,27.4,1.9,0.3,18.1,17.8,97.0,117.0,,0.0,-0.2,-0.014
200,Sami Whitcomb,PHO,G,4,54,0,5,14,0.357,3,12,0.25,2,2,1.0,2,2,1.0,2,9,6,3,0,5,7,15,2026,8.5,0.504,0.464,0.857,0.143,4.5,10.3,17.9,2.8,0.0,25.2,16.7,91.0,109.0,,0.1,0.0,-0.001
201,Courtney Williams,MIN,G,26,807,26,173,375,0.461,34,88,0.386,139,287,0.484,26,31,0.839,23,142,108,33,9,51,46,406,2026,17.4,0.522,0.507,0.235,0.083,3.5,10.4,21.0,2.1,1.1,11.6,23.8,108.0,104.0,,1.5,2.6,0.127
202,Elizabeth Williams,CHI,C-F,26,441,1,54,120,0.45,0,0,,54,120,0.45,30,71,0.423,37,100,38,12,27,20,37,138,2026,13.3,0.456,0.45,0.0,0.592,9.5,13.0,13.5,1.3,5.3,11.7,16.9,99.0,108.0,,0.6,0.5,0.05
203,Gabby Williams,GSV,F,25,641,25,133,318,0.418,46,130,0.354,87,188,0.463,66,91,0.725,19,86,56,42,5,42,35,378,2026,19.4,0.528,0.491,0.409,0.286,3.5,8.2,17.6,3.5,0.8,10.5,28.8,105.0,100.0,,1.6,2.2,0.139
204,Peyton Williams,PHO,F,1,6,0,0,1,0.0,0,0,,0,1,0.0,0,0,,0,0,2,0,1,0,0,0,2026,11.6,0.0,0.0,0.0,0.0,0.0,0.0,46.8,0.0,16.6,0.0,7.6,86.0,109.0,,0.0,0.0,0.005
205,Serah Williams,POR,F,22,262,2,35,66,0.53,1,2,0.5,34,64,0.531,21,34,0.618,17,56,11,8,7,12,39,92,2026,13.1,0.568,0.538,0.03,0.515,8.4,13.7,6.9,1.6,2.5,12.9,16.0,111.0,113.0,,0.2,0.5,0.075
206,A'ja Wilson,LVA,C,22,697,22,201,390,0.515,20,50,0.4,181,340,0.532,140,168,0.833,44,215,63,34,43,56,39,562,2026,31.7,0.606,0.541,0.128,0.431,7.6,18.3,17.1,2.5,5.6,10.8,33.6,117.0,101.0,,1.6,4.4,0.252
207,Ally Wilson,WAS,G,4,58,0,4,15,0.267,2,11,0.182,2,4,0.5,2,3,0.667,5,7,3,0,1,2,7,12,2026,3.6,0.368,0.333,0.733,0.2,10.8,7.3,8.5,0.0,1.7,10.9,14.2,91.0,111.0,,0.1,0.0,0.0
208,Holly Winterburn,POR,G,13,99,1,11,31,0.355,2,16,0.125,9,15,0.6,5,6,0.833,0,8,20,4,0,10,8,29,2026,7.7,0.431,0.387,0.516,0.194,0.0,5.2,32.1,2.1,0.0,22.9,19.9,88.0,116.0,,0.0,-0.2,-0.063
209,Han Xu,NYL,C,25,314,2,52,100,0.52,18,43,0.419,34,57,0.596,11,14,0.786,14,52,19,7,16,12,18,133,2026,17.8,0.626,0.61,0.43,0.14,5.9,10.1,10.5,1.1,4.6,10.2,17.0,120.0,108.0,,0.4,1.1,0.145
210,Jackie Young,LVA,G,24,775,24,144,311,0.463,46,123,0.374,98,188,0.521,53,56,0.946,20,103,158,24,9,54,56,387,2026,19.5,0.577,0.537,0.395,0.18,3.1,7.9,32.3,1.6,1.1,13.9,22.7,116.0,110.0,,0.8,3.0,0.153
211,Li Yueru,DAL,C,17,155,0,16,39,0.41,5,21,0.238,11,18,0.611,20,26,0.769,18,53,8,2,3,8,20,57,2026,15.6,0.565,0.474,0.538,0.667,13.3,20.3,7.0,0.7,1.7,13.7,16.7,118.0,107.0,,0.2,0.6,0.15
212,Cecilia Zandalasini,GSV,F,22,396,19,65,158,0.411,25,82,0.305,40,76,0.526,22,27,0.815,6,39,32,19,3,36,36,177,2026,11.4,0.521,0.491,0.519,0.171,1.8,6.0,15.0,2.6,0.8,17.5,24.0,94.0,103.0,,0.8,0.4,0.044
213,Laura Ziegler,LAS,F,3,29,0,3,8,0.375,0,3,0.0,3,5,0.6,2,3,0.667,1,4,3,1,1,0,5,8,2026,10.5,0.429,0.375,0.375,0.375,4.1,8.3,15.2,1.7,3.2,0.0,14.0,109.0,114.0,,0.0,0.0,0.054
214,Lexi Held,TOT,G,26,434,7,52,129,0.403,22,62,0.355,30,67,0.448,17,18,0.944,10,33,41,11,3,25,37,143,2026,9.3,0.522,0.488,0.481,0.14,2.8,4.7,15.8,1.3,0.7,15.4,16.9,100.0,115.0,,0.1,0.1,0.01
215,Anneli Maley,TOT,F,6,53,0,1,10,0.1,1,5,0.2,0,5,0.0,3,4,0.75,4,8,0,4,0,0,11,6,2026,2.5,0.255,0.15,0.5,0.4,10.0,9.2,0.0,3.8,0.0,0.0,10.0,80.0,106.0,,0.1,0.0,0.005
216,Sug Sutton,TOT,G,12,153,2,24,52,0.462,5,17,0.294,19,35,0.543,7,12,0.583,1,10,29,5,2,12,15,60,2026,12.9,0.524,0.51,0.327,0.231,0.8,4.0,31.3,1.7,1.2,17.3,20.3,103.0,113.0,,0.1,0.2,0.046
217,Grace VanSlooten,TOT,F,13,72,0,8,11,0.727,2,3,0.667,6,8,0.75,5,8,0.625,1,9,4,4,4,3,7,23,2026,16.6,0.792,0.818,0.273,0.727,1.7,7.5,8.7,2.8,5.1,17.1,10.8,132.0,106.0,,0.1,0.3,0.162
218,Shatori Walker-Kimbrough,TOT,G,3,8,0,0,1,0.0,0,0,,0,1,0.0,0,0,,0,0,0,0,0,1,0,0,2026,-11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,10.8,0.0,118.0,,0.0,-0.1,-0.304
219,Kiana Williams,TOT,G,16,212,0,24,65,0.369,13,46,0.283,11,19,0.579,6,7,0.857,1,6,20,8,1,14,22,67,2026,6.6,0.492,0.469,0.708,0.108,0.6,1.7,14.4,1.9,0.5,17.1,17.2,91.0,116.0,,0.0,-0.2,-0.037
