,Player,Team,Pos,G,MP,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Season,PER,TS%,eFG%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg, ,DWS,WS,WS/40
98,Ashlon Jackson,CON,G,6,63,0,4,10,0.4,2,8,0.25,2,2,1.0,0,2,0.0,0,6,5,7,0,3,4,10,2026,8.9,0.46,0.5,0.8,0.2,0.0,5.8,11.8,5.6,0.0,21.6,9.7,84.0,103.0,,0.1,0.1,0.037
99,Rickea Jackson,CHI,F,4,118,4,24,60,0.4,6,21,0.286,18,39,0.462,18,22,0.818,4,19,8,1,7,8,7,72,2026,16.6,0.517,0.45,0.35,0.367,3.9,9.2,12.2,0.4,5.1,10.3,28.6,100.0,111.0,,0.1,0.1,0.041
100,Aziaha James,DAL,G,25,301,1,59,150,0.393,10,42,0.238,49,108,0.454,29,39,0.744,16,61,32,22,4,16,41,157,2026,16.9,0.47,0.427,0.28,0.26,6.1,12.0,16.6,3.7,1.2,8.7,27.0,100.0,103.0,,0.6,0.6,0.086
101,Gabriela Jaquez,CHI,G,22,480,15,64,154,0.416,13,45,0.289,51,109,0.468,45,52,0.865,19,83,23,19,0,27,33,186,2026,11.6,0.526,0.458,0.292,0.338,4.5,9.9,7.6,1.9,0.0,13.2,18.5,101.0,110.0,,0.5,0.5,0.045
102,Justė Jocytė,GSV,G-F,9,58,0,8,26,0.308,5,14,0.357,3,12,0.25,3,4,0.75,0,5,7,0,1,7,5,24,2026,3.8,0.432,0.404,0.538,0.154,0.0,5.3,21.3,0.0,1.7,20.1,27.6,81.0,108.0,,0.1,-0.1,-0.096
103,Marine Johannes,NYL,G,25,578,17,80,197,0.406,57,154,0.37,23,43,0.535,17,20,0.85,13,65,69,24,4,47,49,234,2026,12.6,0.569,0.551,0.782,0.102,3.0,6.8,19.8,2.1,0.6,18.6,19.8,104.0,109.0,,0.6,1.0,0.066
104,Flau'jae Johnson,SEA,G,27,771,27,125,322,0.388,32,117,0.274,93,205,0.454,74,91,0.813,27,146,81,35,23,62,71,356,2026,14.2,0.492,0.438,0.363,0.283,4.2,11.0,18.7,2.3,2.8,14.6,24.5,96.0,106.0,,1.2,0.7,0.037
105,Raven Johnson,IND,G,26,333,0,41,102,0.402,11,43,0.256,30,59,0.508,8,10,0.8,17,58,40,10,3,25,42,101,2026,9.1,0.475,0.456,0.422,0.098,6.6,11.0,17.5,1.5,0.8,19.0,17.1,98.0,111.0,,0.3,0.2,0.029
106,Brionna Jones,ATL,F,2,31,0,3,10,0.3,0,1,0.0,3,9,0.333,6,6,1.0,7,16,5,1,0,0,5,12,2026,25.1,0.475,0.3,0.1,0.6,25.9,32.1,23.7,1.6,0.0,0.0,17.2,140.0,105.0,,0.1,0.2,0.303
107,Haley Jones,POR,F-G,5,57,0,10,17,0.588,0,3,0.0,10,14,0.714,6,8,0.75,2,11,5,2,0,6,9,26,2026,13.9,0.634,0.588,0.176,0.471,4.6,12.4,15.5,1.8,0.0,22.6,21.0,105.0,113.0,,0.0,0.1,0.055
108,Jonquel Jones,NYL,C,24,711,24,117,236,0.496,46,113,0.407,71,123,0.577,77,95,0.811,45,220,61,18,26,52,72,357,2026,20.8,0.643,0.593,0.479,0.403,8.4,18.8,14.9,1.3,3.3,15.8,21.0,119.0,104.0,,1.3,3.4,0.19
109,Dorka Juhász,MIN,F,4,82,0,11,26,0.423,5,17,0.294,6,9,0.667,0,0,,3,18,10,0,4,3,5,27,2026,14.1,0.519,0.519,0.654,0.0,4.5,12.9,17.0,0.0,4.8,10.3,15.5,114.0,105.0,,0.1,0.3,0.129
110,Laura Juškaitė,TOR,F,25,581,17,81,170,0.476,24,66,0.364,57,104,0.548,47,56,0.839,25,96,41,33,6,42,93,233,2026,13.5,0.599,0.547,0.388,0.329,5.3,10.1,11.5,2.9,0.9,17.7,18.1,109.0,113.0,,0.3,1.0,0.068
111,Teonni Key,TOR,F,23,202,1,15,36,0.417,3,12,0.25,12,24,0.5,6,11,0.545,16,37,10,8,12,12,33,39,2026,8.4,0.477,0.458,0.333,0.306,9.8,11.2,7.3,2.0,5.5,22.7,11.6,96.0,113.0,,0.1,0.0,0.005
112,Liatu King,MIN,F,8,73,0,9,16,0.563,2,6,0.333,7,10,0.7,4,10,0.4,8,23,0,3,4,5,13,24,2026,13.6,0.588,0.625,0.375,0.625,13.3,18.6,0.0,2.1,5.4,19.7,15.2,104.0,99.0,,0.2,0.2,0.12
113,Gianna Kneepkens,CON,G,21,164,4,19,49,0.388,5,23,0.217,14,26,0.538,16,17,0.941,10,23,10,3,0,4,27,59,2026,10.8,0.522,0.439,0.469,0.347,7.2,8.6,9.8,0.9,0.0,6.6,16.2,116.0,114.0,,0.1,0.4,0.094
114,Sika Koné,ATL,F,24,139,1,15,49,0.306,4,25,0.16,11,24,0.458,14,19,0.737,14,29,6,2,0,8,24,48,2026,6.2,0.418,0.347,0.51,0.388,11.6,13.0,6.5,0.7,0.0,12.2,19.9,95.0,111.0,,0.1,0.0,0.009
115,Anastasiia Kosu,MIN,F,25,281,0,37,78,0.474,1,2,0.5,36,76,0.474,26,31,0.839,34,57,18,17,11,18,34,101,2026,16.7,0.551,0.481,0.026,0.397,14.7,11.9,8.9,3.0,3.8,16.4,17.1,114.0,103.0,,0.6,1.1,0.156
116,Awak Kuier,DAL,F,22,365,12,45,94,0.479,15,38,0.395,30,56,0.536,16,22,0.727,16,69,21,12,23,22,33,121,2026,14.0,0.584,0.559,0.404,0.234,5.0,11.2,8.1,1.7,5.6,17.5,15.3,106.0,104.0,,0.7,0.9,0.098
117,Leïla Lacan,CON,G,17,499,17,82,189,0.434,20,64,0.313,62,125,0.496,36,49,0.735,8,30,77,35,4,36,54,220,2026,15.0,0.522,0.487,0.339,0.259,1.9,3.7,27.0,3.6,0.8,14.6,21.7,104.0,109.0,,0.6,0.9,0.073
118,Betnijah Laney-Hamilton,NYL,G-F,17,285,5,25,69,0.362,9,37,0.243,16,32,0.5,21,26,0.808,3,32,26,5,3,26,25,80,2026,5.6,0.497,0.428,0.536,0.377,1.4,6.8,13.9,0.9,0.9,24.4,16.9,88.0,112.0,,0.2,-0.2,-0.023
119,Ta'Niya Latson,LAS,G,10,50,0,3,11,0.273,1,4,0.25,2,7,0.286,11,15,0.733,3,10,3,0,0,7,3,18,2026,5.7,0.511,0.318,0.364,1.364,7.2,12.1,8.3,0.0,0.0,28.5,21.4,87.0,119.0,,0.0,-0.1,-0.09
120,Charlisse Leger-Walker,CON,G,26,589,14,65,173,0.376,18,66,0.273,47,107,0.439,32,43,0.744,4,57,85,28,3,41,57,180,2026,9.4,0.469,0.428,0.382,0.249,0.8,5.9,23.1,2.4,0.5,17.6,17.4,94.0,110.0,,0.6,0.2,0.014
121,Carla Leite,POR,G,24,617,23,111,252,0.44,18,52,0.346,93,200,0.465,131,148,0.885,16,57,140,15,1,82,60,371,2026,18.8,0.585,0.476,0.206,0.587,3.4,5.9,40.5,1.2,0.2,20.5,29.2,111.0,118.0,,-0.1,1.4,0.091
122,Kyara Linskens,PHO,C,16,166,1,17,50,0.34,6,21,0.286,11,29,0.379,12,17,0.706,13,36,9,9,11,10,25,52,2026,11.9,0.452,0.4,0.42,0.34,9.4,13.4,8.9,2.8,6.6,14.8,18.5,93.0,105.0,,0.3,0.1,0.034
123,Darianna Littlepage-Buggs,WAS,G-F,1,0,0,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,2026,,,,,,,,,,,,,,,,0.0,0.0,
124,Jewell Loyd,LVA,G,22,615,2,60,166,0.361,39,118,0.331,21,48,0.438,22,29,0.759,10,53,33,26,4,19,57,181,2026,8.6,0.506,0.479,0.711,0.175,2.0,5.1,7.5,2.1,0.6,9.6,14.5,102.0,110.0,,0.6,0.7,0.047
125,Marina Mabrey,TOR,G,24,705,24,167,370,0.451,81,201,0.403,86,169,0.509,95,108,0.88,15,82,86,24,9,78,63,510,2026,20.9,0.611,0.561,0.543,0.292,2.6,7.1,23.5,1.7,1.2,15.7,31.2,110.0,117.0,,0.0,1.6,0.09
126,Natasha Mack,PHO,F-C,19,472,18,72,119,0.605,2,6,0.333,70,113,0.619,24,32,0.75,54,154,27,16,25,20,47,170,2026,20.6,0.639,0.613,0.05,0.269,13.8,20.2,10.2,1.7,5.3,13.1,14.7,126.0,106.0,,0.8,2.1,0.179
127,Ezi Magbegor,SEA,F-C,4,54,0,6,16,0.375,2,4,0.5,4,12,0.333,0,0,,3,16,4,2,3,4,4,14,2026,10.8,0.438,0.438,0.25,0.0,6.7,17.2,12.1,1.9,5.2,20.0,16.5,84.0,103.0,,0.1,0.0,0.007
128,Taina Mair,SEA,G,3,13,0,0,6,0.0,0,2,0.0,0,4,0.0,2,2,1.0,1,2,2,0,0,1,0,2,2026,-6.2,0.145,0.0,0.333,0.333,9.2,9.0,21.2,0.0,0.0,12.7,27.0,51.0,116.0,,0.0,-0.1,-0.373
129,Dominique Malonga,SEA,C,19,489,18,123,263,0.468,12,36,0.333,111,227,0.489,49,72,0.681,49,161,30,17,22,55,58,307,2026,19.2,0.521,0.49,0.137,0.274,12.0,19.2,12.9,1.7,4.2,15.7,31.9,96.0,104.0,,0.9,0.5,0.039
130,Kate Martin,LAS,G,14,102,0,12,33,0.364,7,24,0.292,5,9,0.556,5,8,0.625,3,14,5,3,2,2,13,36,2026,9.9,0.493,0.47,0.727,0.242,3.5,8.3,7.3,1.4,1.8,5.2,16.4,104.0,115.0,,0.0,0.1,0.028
131,Kayla McBride,MIN,G,26,839,26,152,335,0.454,65,170,0.382,87,165,0.527,88,98,0.898,16,97,60,42,7,41,52,457,2026,18.8,0.604,0.551,0.507,0.293,2.3,6.8,10.7,2.5,0.8,9.8,21.8,120.0,105.0,,1.4,3.9,0.185
132,Teaira McCowan,MIN,C,10,68,0,7,15,0.467,0,0,,7,15,0.467,0,3,0.0,5,24,3,1,5,6,19,14,2026,5.5,0.429,0.467,0.0,0.2,8.9,20.8,5.9,0.7,7.2,26.9,14.4,78.0,98.0,,0.2,0.0,0.015
133,Cotie McMahon,WAS,G,22,441,5,46,125,0.368,15,47,0.319,31,78,0.397,27,47,0.574,14,63,44,12,3,27,42,134,2026,8.3,0.46,0.428,0.376,0.376,4.0,8.6,17.5,1.4,0.7,15.6,17.6,95.0,106.0,,0.7,0.4,0.04
134,Jade Melbourne,SEA,G,26,621,18,75,163,0.46,14,51,0.275,61,112,0.545,73,93,0.785,10,53,100,25,4,47,79,237,2026,13.5,0.581,0.503,0.313,0.571,1.9,5.0,26.6,2.0,0.6,18.7,18.0,111.0,111.0,,0.5,1.4,0.093
135,Olivia Miles,MIN,G,24,734,24,158,317,0.498,33,90,0.367,125,227,0.551,109,125,0.872,16,112,140,31,20,76,75,458,2026,23.2,0.616,0.55,0.284,0.394,2.7,9.0,30.0,2.1,2.7,17.0,26.7,118.0,104.0,,1.4,4.0,0.216
136,Nikolina Milic,TOR,C,7,63,1,9,19,0.474,0,2,0.0,9,17,0.529,3,4,0.75,2,9,3,0,0,5,7,21,2026,5.6,0.506,0.474,0.105,0.211,3.9,8.7,7.8,0.0,0.0,19.4,18.1,89.0,121.0,,0.0,-0.1,-0.073
137,Diamond Miller,CON,F,26,579,26,73,208,0.351,21,82,0.256,52,126,0.413,55,66,0.833,11,64,35,20,6,37,81,222,2026,7.6,0.468,0.401,0.394,0.317,2.2,6.8,9.9,1.8,1.0,13.5,20.8,93.0,111.0,,0.5,-0.1,-0.005
138,Kelsey Mitchell,IND,G,26,845,26,210,424,0.495,71,168,0.423,139,256,0.543,115,135,0.852,11,41,72,26,2,49,69,606,2026,21.5,0.627,0.579,0.396,0.318,1.7,3.1,15.2,1.5,0.2,9.2,27.2,123.0,113.0,,0.5,3.9,0.187
139,Aneesah Morrow,CON,F,17,386,6,70,178,0.393,14,55,0.255,56,123,0.455,25,38,0.658,47,159,25,15,7,30,31,179,2026,16.6,0.46,0.433,0.309,0.213,14.3,25.2,11.7,2.0,1.8,13.3,25.6,95.0,104.0,,0.7,0.4,0.041
140,Ndjakalenga Mwenentanda,GSV,G,5,13,0,0,1,0.0,0,1,0.0,0,0,,0,0,,1,2,2,0,0,1,1,0,2026,0.9,0.0,0.0,1.0,0.0,9.1,9.4,21.9,0.0,0.0,50.0,7.1,71.0,109.0,,0.0,0.0,-0.04
141,Olivia Nelson-Ododa,CON,C,22,457,12,77,132,0.583,0,0,,77,132,0.583,51,83,0.614,38,130,44,18,16,30,67,205,2026,20.0,0.608,0.583,0.0,0.629,9.8,17.4,17.0,2.0,3.5,15.1,19.1,116.0,105.0,,0.8,1.8,0.158
142,Indya Nivar,ATL,G,20,61,0,7,18,0.389,2,3,0.667,5,15,0.333,1,13,0.077,4,17,7,5,2,4,15,17,2026,8.1,0.358,0.444,0.167,0.722,7.5,17.3,17.4,4.1,3.3,14.4,19.2,80.0,99.0,,0.2,0.0,-0.006
143,Jovana Nogić,PHO,G,16,323,7,50,119,0.42,32,76,0.421,18,43,0.419,34,38,0.895,7,17,26,10,0,23,36,166,2026,14.1,0.612,0.555,0.639,0.319,2.6,3.3,14.4,1.6,0.0,14.5,22.3,110.0,115.0,,0.1,0.6,0.075
144,Kia Nurse,TOR,G,25,286,1,33,94,0.351,21,66,0.318,12,28,0.429,29,31,0.935,5,25,17,7,0,9,30,116,2026,10.8,0.539,0.463,0.702,0.33,2.2,5.3,9.3,1.2,0.0,7.7,18.1,112.0,120.0,,-0.1,0.3,0.044
145,Aaliyah Nye,ATL,G-F,13,19,0,1,5,0.2,1,3,0.333,0,2,0.0,0,0,,0,0,2,1,0,1,0,3,2026,2.2,0.3,0.3,0.6,0.0,0.0,0.0,14.6,2.6,0.0,16.7,13.3,73.0,110.0,,0.0,0.0,-0.058
146,Teja Oblak,POR,G,20,267,0,47,103,0.456,17,41,0.415,30,62,0.484,9,12,0.75,11,30,57,12,0,49,33,120,2026,11.2,0.554,0.539,0.398,0.117,5.4,7.2,37.9,2.3,0.0,31.2,26.6,91.0,115.0,,0.1,-0.4,-0.06
147,Arike Ogunbowale,DAL,G,25,726,25,107,300,0.357,45,138,0.326,62,162,0.383,81,92,0.88,22,74,68,21,1,33,54,340,2026,13.0,0.499,0.432,0.46,0.307,3.5,6.1,13.6,1.5,0.1,8.8,22.8,106.0,111.0,,0.6,1.3,0.072
148,Nneka Ogwumike,LAS,F,24,759,24,160,304,0.526,35,90,0.389,125,214,0.584,60,71,0.845,42,215,69,26,12,37,39,415,2026,22.4,0.619,0.584,0.296,0.234,6.6,17.1,15.8,1.7,1.5,9.9,21.4,121.0,111.0,,0.6,3.0,0.159
149,Amy Okonkwo,ATL,F,1,1,0,0,1,0.0,0,1,0.0,0,0,,1,2,0.5,0,1,0,0,0,0,1,1,2026,-17.9,0.266,0.0,1.0,2.0,0.0,62.2,0.0,0.0,0.0,0.0,79.4,66.0,89.0,,0.0,0.0,-0.53
150,Madina Okot,ATL,C,26,256,2,67,110,0.609,1,8,0.125,66,102,0.647,33,44,0.75,34,99,6,8,8,34,42,168,2026,22.6,0.649,0.614,0.073,0.4,15.2,24.1,4.6,1.6,3.1,20.8,27.0,108.0,104.0,,0.5,0.9,0.138
151,Lucy Olsen,WAS,G,16,132,0,16,40,0.4,6,18,0.333,10,22,0.455,8,10,0.8,1,11,18,3,0,9,16,46,2026,9.3,0.518,0.475,0.45,0.25,1.0,5.0,24.6,1.2,0.0,16.9,18.2,103.0,108.0,,0.2,0.2,0.07
152,Michaela Onyenwere,WAS,F,20,522,20,67,148,0.453,27,65,0.415,40,83,0.482,40,48,0.833,36,64,33,8,3,38,56,201,2026,11.5,0.594,0.544,0.439,0.324,8.7,7.4,11.6,0.8,0.6,18.3,17.8,109.0,109.0,,0.6,1.2,0.094
153,Te-Hina PaoPao,ATL,G,24,301,1,32,93,0.344,22,60,0.367,10,33,0.303,7,8,0.875,3,22,38,5,3,16,29,93,2026,7.7,0.482,0.462,0.645,0.086,1.1,4.5,18.9,0.8,1.0,14.2,15.8,103.0,111.0,,0.3,0.3,0.046
