feature,mean_abs_shap
WS_z,0.014976375254855333
pts_per_game_z,0.008017048785919046
ast_per_game_z,0.003564215634478813
trb_per_game_z,0.0032989576241399155
USG%_z,0.002967900676790698
PER_z,0.002782929907323121
blk_per_game_z,0.001353128719637253
stl_per_game_z,0.00079170777440513
TS%_z,0.0007126940349542266
