,Season,Player,PER,TS%,eFG%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/40
30,1997,Sophia Witherspoon,18.3,0.517,0.47,0.365,0.322,4.3,5.9,16.0,3.0,0.7,16.4,24.5,98.0,90.0,2.3,1.4,3.6,0.168
31,1997,Tara Williams,13.8,0.474,0.474,0.282,0.0,1.4,5.9,9.1,1.9,0.0,9.3,23.0,92.0,91.0,0.1,0.1,0.2,0.11
32,1997,Kim Williams,14.2,0.448,0.404,0.148,0.231,6.2,7.7,22.2,3.3,0.9,18.4,22.7,88.0,99.0,0.4,0.0,0.4,0.026
33,1997,Debra Williams,4.4,0.308,0.302,0.419,0.047,3.3,7.0,14.2,1.0,0.0,12.0,20.4,71.0,96.0,-0.2,0.1,-0.2,-0.062
34,1997,Jamila Wideman,7.3,0.347,0.269,0.34,0.321,3.3,5.4,24.9,2.0,0.1,29.7,12.0,79.0,96.0,-0.4,0.4,0.0,-0.001
35,1997,Sue Wicks,12.3,0.411,0.364,0.065,0.308,13.3,17.4,17.2,2.8,4.5,27.5,22.7,76.0,83.0,-0.6,0.9,0.4,0.046
36,1997,Umeki Webb,10.2,0.376,0.301,0.095,0.424,6.3,9.3,16.8,4.7,0.9,22.7,14.1,80.0,84.0,-0.5,2.1,1.6,0.083
37,1997,Teresa Weatherspoon,16.3,0.541,0.478,0.255,0.73,3.3,7.7,33.8,5.0,0.2,34.2,13.4,94.0,84.0,1.1,2.4,3.5,0.149
38,1997,Tia Jackson,11.2,0.44,0.363,0.11,0.342,9.5,11.0,16.1,3.8,2.2,30.6,17.0,79.0,85.0,-0.3,0.8,0.5,0.063
39,1997,Danielle Viglione,5.7,0.318,0.318,0.364,0.0,4.1,8.4,6.4,1.8,0.0,0.0,16.4,86.0,102.0,0.0,0.0,0.0,-0.01
40,1997,Molly Tuter,-25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,99.0,0.0,0.0,0.0,-0.648
41,1997,Trena Trice,12.9,0.599,0.565,0.087,0.489,11.6,12.3,1.2,1.4,2.2,26.4,20.1,92.0,90.0,0.4,0.5,0.9,0.11
42,1997,Chantel Tremitiere,8.8,0.45,0.37,0.189,0.459,2.9,6.8,23.0,2.8,0.1,34.1,15.2,79.0,101.0,-0.9,-0.3,-1.1,-0.042
43,1997,Penny Toler,16.2,0.489,0.436,0.112,0.257,3.6,6.3,29.5,2.1,0.3,22.1,23.6,92.0,95.0,1.4,0.7,2.1,0.093
44,1997,Michele Timms,16.1,0.478,0.419,0.481,0.353,2.8,6.3,29.2,3.9,0.3,19.0,19.6,96.0,86.0,1.8,2.1,3.9,0.163
45,1997,Tina Thompson,18.6,0.524,0.476,0.314,0.252,9.8,13.7,7.7,1.3,2.7,14.9,22.0,105.0,92.0,3.2,1.1,4.3,0.195
46,1997,Sheryl Swoopes,26.6,0.541,0.509,0.302,0.264,6.0,7.7,12.7,3.0,2.6,6.3,22.9,118.0,92.0,0.7,0.2,0.9,0.283
47,1997,Tora Suber,10.7,0.52,0.477,0.537,0.38,1.3,5.5,21.1,1.5,0.5,28.8,17.7,87.0,95.0,0.2,0.4,0.5,0.044
48,1997,Andrea Stinson,20.4,0.504,0.479,0.194,0.225,6.1,9.5,26.3,2.3,1.7,18.5,25.1,96.0,92.0,2.4,1.4,3.8,0.151
49,1997,Raegan Pebley,16.0,0.432,0.385,0.0,0.154,10.3,9.4,4.9,1.2,5.5,0.0,14.4,109.0,102.0,0.1,0.0,0.1,0.092
50,1997,Jenny Boucek,1.0,0.498,0.467,0.2,0.467,3.7,5.8,13.9,2.9,0.0,54.9,16.7,54.0,94.0,-0.5,0.1,-0.4,-0.158
51,1997,Andrea Congreaves,16.8,0.621,0.571,0.349,0.444,7.8,12.6,11.4,1.3,0.6,17.1,13.1,117.0,92.0,2.3,0.8,3.1,0.191
52,1997,Megan Compain,3.2,0.357,0.357,0.571,0.0,0.0,15.2,21.7,11.2,4.2,46.2,30.5,44.0,72.0,-0.2,0.1,-0.1,-0.241
53,1997,Katrina Colleton,11.5,0.489,0.472,0.198,0.238,5.3,5.9,12.2,3.0,1.1,20.1,12.6,94.0,93.0,0.6,0.6,1.2,0.081
54,1997,Margold Clark,4.1,0.509,0.5,0.167,0.333,0.0,8.2,3.9,1.2,1.7,22.5,8.6,86.0,101.0,0.0,0.0,0.0,-0.007
55,1997,Daedra Charles,9.6,0.435,0.403,0.015,0.224,7.3,10.3,7.1,1.8,2.8,16.0,13.8,89.0,92.0,0.1,0.4,0.5,0.071
56,1997,Deborah Carter,9.9,0.422,0.391,0.09,0.179,8.5,9.9,5.8,2.4,0.3,14.3,15.3,87.0,101.0,0.1,-0.1,0.0,0.005
57,1997,Latasha Byears,19.2,0.51,0.462,0.024,0.33,16.1,18.5,15.4,3.2,1.0,21.9,20.9,97.0,96.0,1.5,0.4,1.9,0.116
58,1997,Linda Burgess,17.0,0.584,0.544,0.015,0.363,12.1,14.4,3.4,2.1,2.1,23.1,18.3,98.0,91.0,1.0,0.7,1.7,0.139
59,1997,Heidi Burge,12.7,0.474,0.444,0.056,0.625,10.5,14.8,9.2,2.2,3.3,21.4,18.4,88.0,89.0,0.1,0.5,0.7,0.094
60,1997,Vicky Bullett,22.1,0.5,0.458,0.071,0.247,9.6,12.7,15.6,3.4,5.2,15.9,23.2,98.0,86.0,2.2,2.0,4.2,0.193
61,1997,Rushia Brown,20.2,0.579,0.52,0.0,0.52,12.8,14.3,7.6,3.6,2.3,15.2,16.3,113.0,88.0,2.0,1.0,2.9,0.229
62,1997,Janice Braxton,19.2,0.528,0.429,0.047,0.654,6.3,14.8,11.2,2.4,2.8,16.3,18.4,104.0,88.0,2.4,1.6,3.9,0.191
63,1997,Cynthia Cooper,32.2,0.629,0.553,0.399,0.49,4.3,7.5,31.4,3.4,0.5,18.1,28.7,119.0,92.0,8.1,1.3,9.4,0.385
64,1997,Karen Booker,7.6,0.4,0.333,0.05,0.617,11.7,14.4,14.2,4.0,3.7,39.1,17.4,65.0,93.0,-1.0,0.4,-0.7,-0.084
65,1997,Ruthie Bolton,23.6,0.51,0.483,0.471,0.169,4.6,10.4,17.2,3.6,0.1,11.7,27.3,105.0,97.0,3.5,0.3,3.8,0.187
66,1997,Rhonda Blades,6.1,0.508,0.479,0.771,0.286,2.5,4.4,19.3,2.6,0.3,33.1,18.3,79.0,91.0,-0.3,0.4,0.1,0.017
67,1997,Ryneldi Becenti,0.0,,,,,0.0,0.0,0.0,6.7,0.0,100.0,5.6,0.0,85.0,0.0,0.0,0.0,-0.09
68,1997,Elena Baranova,18.0,0.476,0.45,0.32,0.187,6.7,13.0,15.2,2.5,5.4,18.6,21.5,90.0,95.0,0.8,0.8,1.5,0.067
69,1997,Marlies Askamp,18.2,0.482,0.393,0.006,0.522,14.9,17.3,10.0,2.3,1.5,17.4,23.1,96.0,86.0,1.1,1.2,2.3,0.18
70,1997,Katasha Artis,3.3,0.354,0.25,0.063,0.938,1.1,8.8,11.7,2.9,0.7,34.7,14.5,60.0,89.0,-0.4,0.2,-0.2,-0.057
71,1997,Janeth Arcain,18.2,0.531,0.458,0.132,0.34,6.8,9.3,12.0,3.1,0.4,18.9,21.2,102.0,92.0,2.3,1.0,3.3,0.169
72,1997,Yvette Angel,7.8,0.404,0.438,0.313,0.188,2.7,6.3,22.4,2.4,0.9,31.6,12.6,75.0,102.0,-0.1,0.0,-0.1,-0.061
73,1997,Monique Ambers,6.1,0.449,0.444,0.0,1.667,13.8,14.5,8.8,0.0,2.0,31.0,12.0,81.0,92.0,0.0,0.1,0.1,0.038
74,1997,Marcie Alberts,-1.0,0.0,0.0,1.0,0.0,0.0,2.1,15.7,3.6,0.0,60.0,7.8,27.0,94.0,-0.1,0.0,-0.1,-0.138
75,1997,Denique Graves,-5.1,0.262,0.222,0.0,0.296,4.2,11.0,0.0,0.0,5.5,28.2,22.1,45.0,101.0,-0.6,0.0,-0.6,-0.287
76,1997,Tammy Jackson,10.2,0.449,0.409,0.009,0.373,10.0,14.0,4.1,4.6,1.6,27.7,15.2,80.0,85.0,-0.4,1.3,0.9,0.069
77,1997,Susie Hopson-Shelton,25.7,0.673,0.636,0.0,0.182,4.4,10.7,8.6,1.9,0.0,14.4,22.7,114.0,92.0,0.1,0.0,0.2,0.245
78,1997,Jessie Hicks,12.4,0.477,0.463,0.013,0.2,7.2,7.9,8.5,2.6,3.3,12.1,16.8,96.0,99.0,0.4,0.0,0.4,0.06
79,1997,Dena Head,11.2,0.494,0.426,0.235,0.331,5.2,7.7,20.5,1.6,1.3,28.1,20.5,84.0,102.0,-0.1,-0.2,-0.3,-0.027
80,1997,Fran Harris,11.9,0.431,0.383,0.224,0.29,5.6,10.0,13.0,2.6,0.7,19.4,19.0,88.0,92.0,0.2,0.5,0.7,0.072
81,1997,Kym Hampton,20.9,0.523,0.474,0.005,0.54,9.6,15.1,12.1,3.2,2.4,15.8,21.1,101.0,83.0,1.9,1.8,3.7,0.221
82,1997,Wanda Guyton,11.4,0.5,0.467,0.0,0.557,14.7,13.4,3.4,2.2,1.0,22.1,13.7,96.0,93.0,0.9,0.7,1.7,0.099
83,1997,Lady Grooms,6.9,0.4,0.35,0.06,0.329,5.3,7.0,19.2,1.8,0.2,29.2,17.4,72.0,103.0,-1.3,-0.4,-1.8,-0.102
84,1997,Tajama Abraham,6.4,0.427,0.381,0.0,0.302,9.2,10.0,6.0,1.5,2.3,25.6,20.3,76.0,102.0,-0.6,-0.2,-0.8,-0.077
85,1997,Bridgette Gordon,16.9,0.508,0.45,0.128,0.343,8.3,8.7,16.4,2.1,0.7,18.8,20.1,100.0,103.0,2.5,-0.5,1.9,0.079
86,1997,Jennifer Gillom,19.3,0.513,0.46,0.17,0.322,5.9,10.6,6.4,2.2,1.5,11.9,25.1,101.0,88.0,2.7,1.8,4.5,0.204
87,1997,Kim Gessig,-19.6,,,,,0.0,15.1,0.0,0.0,0.0,100.0,11.1,0.0,90.0,0.0,0.0,0.0,-0.305
88,1997,Pietra Gay,2.8,0.476,0.5,0.0,2.5,0.0,16.5,31.1,4.7,0.0,48.8,32.0,58.0,80.0,-0.1,0.0,-0.1,-0.192
89,1997,Travesa Gant,-13.4,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,66.7,10.2,0.0,92.0,-0.1,0.0,-0.1,-0.247
90,1997,Toni Foster,18.0,0.52,0.47,0.03,0.403,10.2,14.2,8.1,3.9,2.5,18.0,17.6,98.0,83.0,1.4,2.1,3.5,0.192
91,1997,Kisha Ford,8.6,0.435,0.39,0.175,0.386,7.3,6.2,9.9,3.2,0.9,22.2,16.3,82.0,91.0,-0.2,0.7,0.5,0.046
92,1997,Isabelle Fijalkowski,18.5,0.57,0.51,0.016,0.419,10.6,12.6,17.5,1.2,1.8,20.0,21.2,105.0,94.0,2.9,0.7,3.6,0.18
93,1997,Michelle Edwards,14.4,0.488,0.465,0.147,0.506,2.9,7.3,27.7,3.1,0.4,27.0,21.4,85.0,92.0,0.0,0.7,0.8,0.05
94,1997,Tamecka Dixon,19.2,0.55,0.5,0.206,0.349,4.0,6.9,14.4,3.6,0.5,16.6,21.6,103.0,91.0,2.3,1.0,3.3,0.183
95,1997,Cassandra Crumpton-Moorer,3.0,0.25,0.25,0.25,0.0,11.2,11.1,17.1,0.0,0.0,20.0,20.5,62.0,96.0,0.0,0.0,0.0,-0.131
96,1997,Mikiko Hagiwara,6.3,0.408,0.39,0.709,0.186,2.3,4.0,10.4,0.6,0.4,14.7,13.6,87.0,101.0,0.1,-0.1,0.0,0.0
0,1998,Tajama Abraham,8.2,0.437,0.357,0.0,1.071,5.4,9.4,0.0,2.5,1.8,19.5,26.4,79.0,92.0,-0.1,0.1,0.0,-0.001
1,1998,Janeth Arcain,14.0,0.477,0.438,0.169,0.231,8.6,10.6,7.5,2.1,0.4,15.0,18.4,97.0,91.0,1.0,1.2,2.2,0.133
2,1998,Marlies Askamp,19.7,0.529,0.471,0.0,0.596,14.1,17.2,7.6,2.0,1.8,14.4,22.0,105.0,89.0,1.0,0.7,1.7,0.213
3,1998,Tricia Bader Binford,2.7,0.407,0.396,0.509,0.151,0.0,2.9,17.2,3.4,0.0,31.5,18.3,67.0,102.0,-0.6,0.0,-0.6,-0.123
4,1998,Elena Baranova,21.4,0.516,0.454,0.219,0.324,11.1,16.6,20.7,1.7,3.5,18.0,20.8,102.0,98.0,1.8,0.5,2.3,0.134
5,1998,Adia Barnes,10.1,0.456,0.426,0.211,0.175,7.0,8.6,7.6,1.3,1.4,18.1,22.2,85.0,100.0,-0.2,0.2,0.0,0.002
6,1998,Quacy Barnes,0.5,0.403,0.4,0.0,0.733,6.9,5.6,4.1,0.6,5.8,31.2,15.0,64.0,101.0,-0.3,0.0,-0.2,-0.108
7,1998,Tully Bevilaqua,16.0,0.631,0.607,0.214,0.429,2.3,5.4,30.5,5.2,1.3,35.1,9.8,108.0,91.0,0.3,0.2,0.5,0.157
8,1998,Rhonda Blades,2.7,0.364,0.333,0.641,0.372,1.7,5.6,20.7,1.9,0.2,31.1,17.6,67.0,96.0,-1.0,0.4,-0.6,-0.075
