,Season,Player,G,MP,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
61,1999,Adrienne Johnson,29,224,0,25,62,0.403,1,8,0.125,24,54,.444,6,9,.667,12,28,14,5,2,14,21,57
62,1999,LaTonya Johnson,31,718,18,66,181,0.365,24,82,0.293,42,99,.424,47,58,.810,14,54,50,21,8,40,65,203
63,1999,Niesa Johnson,31,296,0,15,50,0.3,6,23,0.261,9,27,.333,11,12,.917,3,18,43,10,2,27,19,47
64,1999,Shannon Johnson,32,1147,32,151,338,0.447,40,110,0.364,111,228,.487,105,153,.686,44,150,141,54,12,121,79,447
65,1999,Vickie Johnson,32,1082,32,165,394,0.419,25,71,0.352,140,323,.433,72,86,.837,43,142,106,44,1,65,77,427
66,1999,Kellie Jolly Harper,1,4,0,0,0,,0,0,,0,0,,0,0,,0,0,1,0,0,2,0,0
67,1999,Merlakia Jones,32,853,8,141,325,0.434,5,18,0.278,136,307,.443,60,78,.769,47,122,51,41,5,66,81,347
68,1999,Andrea Kuklova,5,13,0,0,3,0.0,0,0,,0,3,.000,0,0,,0,0,0,0,0,1,2,0
69,1999,Venus Lacy,17,111,0,10,24,0.417,0,0,,10,24,.417,12,15,.800,7,20,1,3,4,14,24,32
70,1999,Monica Lamb,3,36,0,4,10,0.4,0,0,,4,10,.400,5,6,.833,3,6,0,0,2,1,6,13
71,1999,MerleLynn Lange-Harris,1,3,0,0,0,,0,0,,0,0,,0,0,,0,2,0,0,0,0,1,0
72,1999,Krystyna Lara,25,204,0,23,68,0.338,10,33,0.303,13,35,.371,6,6,1.000,1,13,23,10,2,36,29,62
73,1999,Lisa Leslie,32,930,32,182,390,0.467,22,52,0.423,160,338,.473,114,156,.731,72,248,56,36,49,94,136,500
74,1999,Andrea Lloyd-Curry,32,899,31,75,200,0.375,30,90,0.333,45,110,.409,34,45,.756,38,138,91,30,12,62,92,214
75,1999,Rebecca Lobo,1,1,1,0,0,,0,0,,0,0,,0,0,,1,1,0,0,0,1,0,0
76,1999,Mwadi Mabika,32,938,28,125,336,0.372,41,146,0.281,84,190,.442,56,78,.718,42,153,111,44,15,57,100,347
77,1999,Clarisse Machanguana,28,245,0,24,49,0.49,0,0,,24,49,.490,26,36,.722,16,51,10,8,3,14,34,74
78,1999,Sharon Manning,32,521,6,57,113,0.504,1,1,1.0,56,112,.500,24,46,.522,37,114,17,28,4,27,51,139
79,1999,Rhonda Mapp,30,790,26,118,236,0.5,1,9,0.111,117,227,.515,49,68,.721,48,193,56,25,13,60,102,286
80,1999,Monica Maxwell,20,141,0,11,50,0.22,7,33,0.212,4,17,.235,5,9,.556,3,22,10,5,1,11,9,34
81,1999,Stephanie White,30,563,5,53,130,0.408,23,65,0.354,30,65,.462,30,33,.909,16,49,52,19,2,38,47,159
82,1999,Suzie McConnell Serio,18,511,18,36,98,0.367,20,60,0.333,16,38,.421,16,19,.842,4,43,76,10,2,54,31,108
83,1999,Nikki McCray,32,1043,32,193,455,0.424,46,153,0.301,147,302,.487,129,160,.806,35,86,78,34,1,107,86,561
84,1999,Carla McGhee,30,234,0,15,47,0.319,0,0,,15,47,.319,15,18,.833,22,46,8,8,3,22,38,45
85,1999,Taj McWilliams-Franklin,32,1042,32,153,319,0.48,20,45,0.444,133,274,.485,94,141,.667,81,239,51,57,38,80,96,420
86,1999,Chasity Melvin,32,709,9,95,217,0.438,1,1,1.0,94,216,.435,68,98,.694,53,127,38,20,22,42,93,259
87,1999,DeLisha Milton-Jones,32,835,32,125,236,0.53,0,1,0.0,125,235,.532,68,86,.791,60,176,50,47,17,71,112,318
